management,S_address,L_address,purpose,camera_num,camera_pixel,shoot_info,storage_days,installed_date,phone,latitude,longitude,data_date
서울특별시  양천구청,서울특별시 양천구 목동동로 293,서울특별시 양천구 목1동 917-9,생활방범,5,200,360도 전방,30,2001-12,02-2620-4793,37.527618,126.87652800000001,2020-05-18
서울특별시  양천구청,서울특별시 양천구 오목로 319,서울특별시 양천구 목1동 406-35,생활방범,4,200,360도 전방,30,2001-12,02-2620-4793,37.52503,126.87321000000001,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동로210,서울특별시 양천구 목1동 목동 810-1,생활방범,5,200,360도 전방,30,2001-12,02-2620-4793,37.52756,126.86421999999999,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동동로 12길 53,서울특별시 양천구 목동 404-61,생활방범,5,200,360도 전방,30,2001-12,02-2620-4793,37.522365,126.87751999999999,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동서로 77,서울특별시 양천구 목동 907,생활방범,4,200,360도 전방,30,2001-12,02-2620-4793,37.536178,126.877581,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동동로 419,서울특별시 양천구 목동 909-9,생활방범,5,200,360도 전방,30,2001-12,02-2620-4793,37.536514000000004,126.88321100000002,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙로 129,서울특별시 양천구 목동 199-66,생활방범,4,200,360도 전방,30,2001-12,02-2620-4793,37.539722,126.875483,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙본로18길 39,서울특별시 양천구 목2동 231-98,생활방범,5,200,360도 전방,30,2001-12,02-2620-4793,37.541094,126.871328,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙북로16길 33,서울특별시 양천구 목동 536,생활방범,4,200,360도 전방,30,2001-12,02-2620-4793,37.544742,126.874315,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙남로16가길 16-17,서울특별시 양천구 목3동 324-188,생활방범,5,200,360도 전방,30,2001-12,02-2620-4793,37.543582,126.864263,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙남로9길 38,서울특별시 양천구 목4동 725-3,생활방범,5,200,360도 전방,30,2001-12,02-2620-4793,37.537908,126.864595,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙로5길 49,서울특별시 양천구 목4동 760-1,생활방범,4,200,360도 전방,30,2001-12,02-2620-4793,37.538315999999995,126.869828,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙본로15길 20,서울특별시 양천구 목2동 315-33,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.541472999999996,126.868195,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙본로22길 63-1,서울특별시 양천구 목2동 231-145,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.541224,126.87278400000001,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙본로32길 39,서울특별시 양천구 목2동 527-19,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.54312,126.87501999999999,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동동로 379,서울특별시 양천구 목5동 907-17,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.53577,126.87886200000001,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙남로16다길 1,서울특별시 양천구 목3동 318-31,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.543178000000005,126.865926,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙남로13길 7-12,서울특별시 양천구 목동 720-11,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.539682,126.86541100000001,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙남로 61,서울특별시 양천구 목동 723-11,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.539271,126.866256,2020-05-18
서울특별시  양천구청,서울특별시 양천구 오목로 276-6,서울특별시 양천구 목1동 408-53,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.524861,126.86797299999999,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동동로 240,서울특별시 양천구 목1동 932-4,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.525661,126.87351899999999,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙본로32길 42,서울특별시 양천구 목2동 535-1,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.545303000000004,126.87341299999999,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙북로16길 56,서울특별시 양천구 목2동 543-15,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.543586,126.87418999999998,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙본로20길 19,서울특별시 양천구 목2동 231-25,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.541798,126.870746,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙북로16길 117,서울특별시 양천구 목2동 556-1,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.542876,126.871843,2020-05-18
서울특별시  양천구청,서울특별시 양천구 공항대로 572,서울특별시 양천구 목동 600-1,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.545524,126.866699,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙남로14길 11,서울특별시 양천구 목3동 716-14,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.540428000000006,126.866395,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙북로 29,서울특별시 양천구 목3동 610-19,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.54804,126.866817,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙본로7가길 67-12,서울특별시 양천구 목3동 318-103,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.542125,126.866339,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙북로7가길 30,서울특별시 양천구 목3동 608-8,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.549211,126.865765,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙서로7길 7,서울특별시 양천구 목동 790-17,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.533127,126.866031,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙서로11길 48,서울특별시 양천구 목4동 771-5,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.534694,126.86723300000001,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙서로8길 30-5,서울특별시 양천구 목4동 804-13,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.531287,126.865679,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙서로11길 11,서울특별시 양천구 목동 774-12,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.533530999999996,126.86918600000001,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙로5가길 8,서울특별시 양천구 목4동 753-11,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.537498,126.871696,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙남로3길 60,서울특별시 양천구 목4동 734-23,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.5356,126.864194,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙로3길 94,서울특별시 양천구 목4동 741-6,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.538911999999996,126.86763700000002,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동 911-5,서울특별시 양천구 목동 911-5,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.534656,126.88646899999999,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동 912-3,서울특별시 양천구 목동 912-3,생활방범,3,200,360도 전방,30,2001-12,02-2620-4793,37.533294,126.88401699999999,2020-05-18
서울특별시  양천구청,서울특별시 양천구 신목로 100-8,서울특별시 양천구 목1동 404-78,생활방범,4,130,360도 전방,30,2001-12,02-2620-4793,37.523255,126.87615900000002,2020-05-18
서울특별시  양천구청,서울특별시 양천구 오목로300,서울특별시 양천구 목1동 하이페리온2 203동-204동 사이,생활방범,4,130,360도 전방,30,2001-12,02-2620-4793,37.524159999999995,126.87033000000001,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙로13다길 4,서울특별시 양천구 목2동 131-40,생활방범,4,130,360도 전방,30,2001-12,02-2620-4793,37.544752,126.880853,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙본로18길 82,서울특별시 양천구 목2동 231-187,생활방범,3,130,360도 전방,30,2001-12,02-2620-4793,37.540045,126.87323799999999,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙북로 121,서울특별시 양천구목2동 516-12,생활방범,4,130,360도 전방,30,2001-12,02-2620-4793,37.546356,126.87677,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙북로20길 27,서울특별시 양천구 목2동 523-54,생활방범,5,130,360도 전방,30,2001-12,02-2620-4793,37.545010999999995,126.875754,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙본로7가길 28,서울특별시 양천구 목3동 318-222,생활방범,4,130,360도 전방,30,2001-12,02-2620-4793,37.540732,126.867131,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙북로 8,서울특별시 양천구 목3동 615-1,생활방범,4,130,360도 전방,30,2001-12,02-2620-4793,37.548491999999996,126.86476100000002,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙본로7가길 51,서울특별시 양천구 목3동 318-169,생활방범,4,130,360도 전방,30,2001-12,02-2620-4793,37.541927,126.866744,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙본로5길 29,서울특별시 양천구 목4동 745-9,생활방범,4,130,360도 전방,30,2001-12,02-2620-4793,37.538482,126.868164,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙서로11길 68,서울특별시 양천구목4동 780-18,생활방범,4,130,360도 전방,30,2001-12,02-2620-4793,37.534939,126.866459,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙서로7가길 32,서울특별시 양천구 목4동 788-11,생활방범,3,130,360도 전방,30,2001-12,02-2620-4793,37.533417,126.864286,2020-05-18
서울특별시  양천구청,서울특별시 양천구 목동중앙서로6길 38,서울특별시 양천구 목4동 806-5,생활방범,4,130,360도 전방,30,2001-12,02-2620-4793,37.531079,126.865177,2020-05-18
